State,Sector,Indicator,Source of finance,Value
Rajasthan,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,16.2
Rajasthan,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,35.4
Rajasthan,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.3
Rajasthan,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Sikkim,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,22.3
Sikkim,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,33.5
Sikkim,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,44.3
Sikkim,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Sikkim,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Sikkim,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,2.1
Sikkim,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,42.5
Sikkim,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,55.4
Sikkim,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Sikkim,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Sikkim,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,18.1
Sikkim,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,35.4
Sikkim,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,46.6
Sikkim,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Sikkim,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Tamil Nadu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,33.5
Tamil Nadu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,40.6
Tamil Nadu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,23.8
Tamil Nadu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.1
Tamil Nadu,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Tamil Nadu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,14
Tamil Nadu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,63.1
Tamil Nadu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,21.1
Tamil Nadu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.8
Tamil Nadu,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Tamil Nadu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,25.8
Tamil Nadu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,49.5
Tamil Nadu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,22.7
Tamil Nadu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2
Tamil Nadu,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Telangana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,66.4
Telangana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,7.5
Telangana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,25.5
Telangana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.6
Telangana,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Telangana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,30.9
Telangana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,49.1
Telangana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,19.1
Telangana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.9
Telangana,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Telangana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,54.6
Telangana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,21.2
Telangana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,23.4
Telangana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.7
Telangana,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Tripura,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,33.5
Tripura,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.4
Tripura,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,53.9
Tripura,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,3.2
Tripura,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Tripura,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,33.4
Tripura,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,13.2
Tripura,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,48.3
Tripura,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,5.1
Tripura,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Tripura,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,33.5
Tripura,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,10.6
Tripura,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,52.1
Tripura,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,3.8
Tripura,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Uttarakhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,50.9
Uttarakhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,4.2
Uttarakhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,44.9
Uttarakhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Uttarakhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Uttarakhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,55.6
Uttarakhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,26.8
Uttarakhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,17.6
Uttarakhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Uttarakhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Uttarakhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,52.2
Uttarakhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,10.3
Uttarakhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,37.5
Uttarakhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Uttarakhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Uttar Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,43.5
Uttar Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.1
Uttar Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,47
Uttar Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.5
Uttar Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Uttar Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,28.3
Uttar Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,25.7
Uttar Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,43.6
Uttar Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.4
Uttar Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Uttar Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,40.6
Uttar Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,12.2
Uttar Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,46.4
Uttar Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.8
Uttar Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
West Bengal,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,37.8
West Bengal,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,18.4
West Bengal,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,42.7
West Bengal,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.1
West Bengal,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
West Bengal,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,28.5
West Bengal,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,20.4
West Bengal,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,46
West Bengal,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,5.1
West Bengal,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
West Bengal,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,35.3
West Bengal,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,18.9
West Bengal,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,43.6
West Bengal,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.2
West Bengal,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
